user_input,retrieved_contexts,response,reference,faithfulness,context_recall,answer_correctness
Compare the 2026 range efficiency of the Rivian R2 vs the Tesla Model Y Long Range RWD.,['The Rivian R2 Standard offers 345 miles of range with an efficiency of 3.9 mi/kWh. The Tesla Model Y Long Range RWD is EPA-rated for 357 miles at 4 mi/kWh.'],"The Rivian R2 achieves 3.9 mi/kWh (345 miles range), whereas the Tesla Model Y Long Range RWD is slightly more efficient at 4 mi/kWh (357 miles range).","The Rivian R2 has an efficiency of 3.9 mi/kWh (345 miles), while the Tesla Model Y Long Range RWD is slightly higher at 4 mi/kWh (357 miles).",,1.0,
What is BYD's global export target for 2026 and how does it compare to 2025?,"['BYD indicated to analysts that exports would reach 1.5 million units in 2026, up from a 1.3 million target earlier. This follows an expected 900k-1M units in 2025.']","BYD has raised its 2026 export target to 1.5 - 1.6 million units, nearly doubling the 2025 goal of 900,000 to 1 million units.","BYD's 2026 export target is 1.5 to 1.6 million units, a significant increase from the 2025 target of 900,000 to 1,000,000 units.",0.4,1.0,
How does the starting price of the 2026 Lucid Gravity compare to the Tesla Model X in the UK market?,"['Lucid Gravity starts at £85,600, while the Tesla Model X costs £98,600, a difference of approximately £13,000.']","The Lucid Gravity is roughly £13,000 cheaper, starting at £85,600 compared to the Model X at £98,600.","The Lucid Gravity (£85,600) is approximately £13,000 cheaper than the Tesla Model X (£98,600).",1.0,1.0,
"Which company holds the title of the world's most valuable EV brand in 2026, and what is its valuation?","[""Tesla remains the world's most valuable EV brand, exceeding $1.6 trillion in market capitalization in the 2026 electric landscape.""]",Tesla remains the world's most valuable EV brand with a valuation exceeding $1.6 trillion.,"Tesla is the most valuable EV brand globally, with a market capitalization exceeding $1.6 trillion.",,1.0,
What are Rivian's projected unit deliveries for the year 2026?,"['Rivian remains distant in volume, with projected 2026 deliveries under 200,000 units.']","Rivian's projected deliveries for 2026 are under 200,000 units.","Rivian is expected to deliver fewer than 200,000 units in 2026.",,1.0,
What material is Apple using for its N50 smart glasses to differentiate from plastic competitors?,['Apple plans to use acetate for its N50 frames to appear more durable and luxurious than the standard plastic used by many brands.'],"Apple is using 'luxurious' acetate for its N50 frames, whereas most competitors use standard plastic.",Apple is using high-end acetate for the N50 frames to provide a more durable and premium feel compared to standard plastic competitors.,,1.0,
Identify the core AI software stack used in the Rokid AI Glasses Style launched in 2026.,['Rokid AI Glasses Style launched in Jan 2026 uses a multi-LLM AI stack that taps both ChatGPT GPT-5 and DeepSeek.'],The Rokid AI Glasses Style uses a multi-LLM stack featuring both GPT-5 and DeepSeek.,The Rokid AI Glasses use a combination of GPT-5 and DeepSeek for their AI capabilities.,,1.0,
Which tech company is partnering with Warby Parker for its 2026 smart glasses release?,['Google and Samsung are leaning on Warby Parker for frames for their 2026 smart glasses launch built on Android XR.'],Google and Samsung are partnering with Warby Parker for their Android XR smart glasses.,Google and Samsung are collaborating with Warby Parker for their smart glasses frames.,,,
Does every Rivian R2 come with access to the Tesla Supercharger network natively?,"['Every R2 has a NACS charge port, allowing you to charge at over 21,000 Tesla Superchargers across the US and Canada.']","Yes, every Rivian R2 is equipped with a NACS charge port, allowing access to over 21,000 Tesla Superchargers.",All Rivian R2 vehicles include a NACS port for native access to the Tesla Supercharger network.,,,
What is the expected capital expenditure trend for BYD in late 2025 and 2026?,['BYD expects capital expenditure (capex) to decline in late 2025 and more pronouncedly in 2026 as capacity reaches sustainable levels.'],BYD's capital expenditure is expected to decline in 2026 as production capacity meets global demand.,BYD's capex is projected to decrease in 2026 because vehicle and battery production capacity has reached sustainable global levels.,,,
