user_input,retrieved_contexts,response,reference,faithfulness,context_recall,answer_correctness
Compare the 2026 range efficiency (mi/kWh) and starting price of the Rivian R2 vs the Tesla Model Y Long Range RWD.,"['Tesla Model Y Premium RWD: $46,630, 357 miles range.', 'Rivian R2 Long Range: $49,985, 345 miles range.']","The Rivian R2 starts at $49,985 with a 345-mile range (approx 3.9 mi/kWh), while the Tesla Model Y Premium RWD starts at $46,630 with a 357-mile range (approx 4.0 mi/kWh).","The Rivian R2 ($49,985) offers 345 miles of range, while the Tesla Model Y Premium RWD ($46,630) offers 357 miles.",,,
Identify BYD's 2026 export target and the location of their new European factories.,"['BYD is targeting up to 1.6 million vehicle sales outside China in 2026.', 'BYD confirmed plans for a major factory in Szeged, Hungary, and is evaluating Spain.']",BYD targets 1.6 million overseas sales in 2026 with new plants in Hungary and potentially Spain or Turkey.,"BYD's 2026 overseas sales target is 1.6 million units, supported by a new plant in Hungary.",,,
Analyze the frame material and AI software stack in the Rokid AI Glasses Style vs Apple's Project N50 goals.,"['Rokid AI Style uses a multi-LLM stack tapping GPT-5 and DeepSeek.', ""Apple's Project N50 targets a smart glasses release by 2027.""]",Rokid AI Style uses thin frames with GPT-5 and DeepSeek; Apple's Project N50 targets 2027 with a camera/mic set similar to Meta Ray-Bans.,"Rokid AI Glasses use GPT-5 and DeepSeek, while Apple's Project N50 is a longer-term AI eyewear push.",,,
Compare Tesla's 2026 capital expenditure (Capex) projection vs BYD's revenue scale in 2025.,"['Tesla forecasts capital expenditures to exceed $20 billion this year (2026).', ""BYD's annual revenue reached a record 804 billion CNY ($116 billion USD) in 2025.""]","Tesla expects Capex to exceed $20 billion in 2026, whereas BYD's 2025 revenue reached a record $116 billion (804 billion CNY).","Tesla's 2026 Capex is projected over $20B, while BYD's 2025 revenue was $116B.",,,
Does every Rivian R2 and 2026 Lucid Gravity support the Tesla Supercharger network natively?,"['Every R2 has a NACS charge port for 21,000 Tesla Superchargers.', 'The 2026 Lucid Gravity includes NACS integration for the Tesla network.']",The Rivian R2 has a native NACS port; the 2026 Lucid Gravity also supports NACS integration for Tesla's network.,Both the Rivian R2 and 2026 Lucid Gravity natively support the Tesla Supercharger network via NACS.,,,
Who are the core Android XR rivals for Apple and which eyewear brand are they partnering with?,"['Google is launching Android XR smart glasses co-developed with Warby Parker.', 'Samsung confirmed a smart glasses launch in 2026 built on Android XR.']","Google and Samsung are the core Android XR rivals, partnering with Warby Parker and Gentle Monster.","Apple's Android XR rivals include Google and Samsung, partnered with Warby Parker.",,,
Identify BYD's 2025 profit trend vs their international expansion rate in March 2026.,"['BYD reported its first yearly net profit drop since 2021 in 2025.', 'In March 2026, BYD exported 120,083 vehicles, a 65% increase year-over-year.']","BYD saw its first profit decline since 2021 in 2025, yet exports rose 65% year-over-year in March 2026.",BYD's 2025 profit declined despite a 65% surge in international exports by March 2026.,,,
Compare the infotainment screen size of the 2026 Lucid Gravity vs the 2026 Tesla Model X.,"['Lucid Gravity has a 12.60-inch Touchscreen infotainment system.', 'Tesla Model X has a 17.00-inch Touchscreen infotainment system.']","The Lucid Gravity features a 12.60-inch touchscreen, while the Tesla Model X has a larger 17.00-inch touchscreen.",The Tesla Model X (17-inch) has a larger infotainment screen than the Lucid Gravity (12.6-inch).,,,
What is the weight of the Rokid AI Glasses Style and its primary processor?,"['The Rokid AI Glasses Style are thin, display-less frames running on a Qualcomm AR1 processor.']",The Rokid AI Style frames are 'display-less' and run on a Qualcomm AR1 processor.,Rokid AI Style glasses run on the Qualcomm AR1 processor.,,,
Compare the airbags in the 2026 Lucid Gravity vs the 2026 Tesla Model X.,['2026 Lucid Gravity has 8 airbags; 2026 Tesla Model X has 12 airbags.'],"The Lucid Gravity has 8 airbags, whereas the Tesla Model X is equipped with 12 airbags.",The Tesla Model X has more airbags (12) than the Lucid Gravity (8).,,,
